id|标题|年份|一句话|图片文件名(序号:名)
eco_shenzhen_sez|经济特区 · 深圳制度试验|1980|在一个渔村划一道线,线内允许市场化做法先试先行,特区成了整场改革的沙盒。|0:Electronics_factory_in_Shenzhen.jpg ;; 1:Shenzhen_huizhanzhongxin.jpg ;; 2:Dafen_Oil_Painting_Village_(Day).JPG
eco_grameen_microcredit|格莱珉银行 · 小额信贷扶贫模式|1983|银行嫌穷人风险太高不肯放贷,一位经济学教授就自己贷了27美元给村里妇女试试看。|0:Grameen.JPG ;; 1:Muhammad_yunus_at_weforum.jpg
eco_walmart_supply_chain|沃尔玛 · 全球即时供应链|1988|收银台条码一扫,大洋彼岸的工厂就知道该补多少货,零售商第一次抢先看到需求。|0:Walmart_store_exterior_5266815680.jpg ;; 1:Walmart_exterior.jpg ;; 2:Walmartmexicaninteriors.jpg
art_kpop|韩国流行音乐|1992|韩国流行音乐把材料、技法与观看方式接在一起，留下超越时代的回声。|0:Cho_Yong-pil_from_acrofan.jpg ;; 1:Big_Bang_2012_2.jpg ;; 2:File-170529_BTS_at_a_press_conference_for_the_BBMAs_(1).png
eco_wto_gatt|关贸总协定到世贸组织|1995|一份战后临时性关税协议,拖了近五十年才升级成有仲裁牙齿的国际组织。|0:WTO_members_and_observers.svg ;; 1:WhiteandKeynes.jpg ;; 2:Geneva_Ministerial_Conference_18-20_May_1998_(9305956531).jpg
eco_euro|欧元 · 单一货币的政治实验|1999|十几个主权国家交出了印钞权,却没交出财政权,这道裂缝后来在债务危机里露了馅。|0:Euro_banknotes_Europa_series.png ;; 1:European_Central_Bank_041107.jpg ;; 2:Euro_coins_and_banknotes.jpg
sci_genome_project|人类基因组计划|2003|把组成一个人的全部三十多亿个字母都读了出来,足足花了十三年、数十亿美元。|0:Vitruvian_man.jpg
eco_mpesa|M-Pesa · 手机货币改变非洲金融|2007|银行网点没铺到的地方,一条手机短信就能把钱转给几百公里外的家人。|0:M-pesa-logo.png
eco_alipay_wechatpay|移动支付 · 中国扫码支付革命|2011|现金和银行卡都被绕了过去,一个二维码让路边摊贩接进了全国清算网络。|0:QR_codes_for_mobile_pay_in_China.jpg ;; 1:A_woman_paying_at_Ziguangyuan,_Yuanda_Xilu_(20250411135111).jpg
sci_higgs|粒子物理 · 希格斯玻色子|2012|为了找一颗被预言存在了近半个世纪的粒子,他们造了一台能绕地球一圈的对撞机。|0:Candidate_Higgs_Events_in_ATLAS_and_CMS.png ;; 1:Interactions_among_elementary_particles.png ;; 2:AIP-Sakurai-best.JPG
sci_crispr|基因编辑 · CRISPR|2012|把细菌用来抵御病毒的防御系统改造一下,人类第一次能精准剪切自己的基因。|0:Crispr.png ;; 1:CAS_4qyz.png
sci_ligo|引力波探测|2015|两个黑洞十几亿年前相撞产生的涟漪,终于在地球上被一台仪器捕捉到了。|0:LIGO_control.jpg ;; 1:LIGO_Hanford_aerial_05.jpg ;; 2:Ligo-livingston-aerial-03_599x400.jpg
sci_alphago|深度学习 · AlphaGo战胜李世石|2016|围棋的可能局面比宇宙原子还多,一个程序还是在首尔把顶尖棋手打得心服口服。|0:Go_board_part.jpg
sci_mrna_vaccine|mRNA疫苗|2020|不再往身体里注射病毒本身,而是给细胞一份说明书,让它自己造出防御武器。|0:RNA_vaccine_illustration_(zh).jpg
sci_llm_boom|深度学习 · 大语言模型爆发|2022|喂给它整个互联网的文字,它学会的不只是接话,还有推理和写代码。|0:ChatGPT-Logo.svg ;; 1:Pioneer_Building,_San_Francisco_(2019)_-1.jpg ;; 2:Sam_Altman_TechCrunch_SF_2019_Day_2_Oct_3_(cropped).jpg
ren_first_australians|澳大利亚原住民定居|-65000|跨海而来的第一批人,守住了地球上最长的连续文化。|0:Bennelong.jpg ;; 1:Yagan_Statue_2005.jpg ;; 2:Trugannini_1866.jpg
ren_neanderthal_admix|尼安德特人遗传印记|-50000|被视为灭绝对手的近亲,其实活在多数人的基因里。|0:Range_of_NeanderthalsAColoured.png ;; 1:Neanderthalensis.jpg ;; 2:Homo_erectus_tautavelensis.jpg
ren_pygmy|中非俾格米人|-20000|雨林教会他们把身材调小,把脚步声调到听不见。|0:Baka_dancers_June_2006.jpg
ren_first_americans|美洲首批居民|-15000|最后一块无人大陆,被一群追着猎物走的人踏破。|0:Distribution_of_Indigenous_Peoples_in_the_Americas.svg
ren_papuan_highland|巴布亚高地农人|-7000|山谷把语言拆成八百种,却拆不散同一群种芋人。|0:Papua_New_Guinea_(5986599443).jpg
pol_egypt_kingship|古埃及法老神王制|-3100|一顶双料王冠,把尼罗河两岸变成同一个神的领地。|0:NarmerPalette-CloseUpOfNarmer-ROM.png ;; 1:NarmerPalette_ROM-gamma.jpg ;; 2:Chambers_B17_and_B18_(Umm_el-Qa'ab).jpg
pol_akkad|阿卡德帝国|-2334|萨尔贡把两河众城邦收进一顶王冠,"帝国"这个词第一次有了原型。|0:Orientmitja2300aC.png ;; 1:Babylonlion.JPG ;; 2:Sargon_of_Akkad.jpg
pol_ur3|乌尔第三王朝|-2112|治理先靠表格而非誓言——泥板账目比法典更早统一了两河。|0:Map_of_Ur_III.svg ;; 1:Babylonlion.JPG ;; 2:Ur-Nassiriyah.jpg
ren_khoisan|科伊桑人|-2000|基因树最深的一支,却被自己发现的土地渐渐挤到边缘。|0:San_tribesman.jpg
rel_vedic_religion|吠陀宗教 · 火祭|-1500|用火当邮差,把供品烧给看不见的神——印度教三千年前的操作系统。|0:Late_Vedic_Culture_(1100-500_BCE).png ;; 1:Isapur_sacrificial_pillar_of_Vasishka.jpg ;; 2:Yajna1.jpg
rel_zoroaster|琐罗亚斯德教|-1000|世界第一次被讲成善与恶两大阵营的战争,天堂地狱的账本从此开张。|0:Faravahar.svg ;; 1:Faravahar.png ;; 2:CIMRM_44-Mithraic_pater_(Dura_Europos).jpg
pol_assyria_provinces|亚述行省与强制迁徙|-900|用恐惧当行政工具:把反抗者整族连根拔起,让他们无处扎根。|0:Assyria_zh-s.svg
phi_upanishads|奥义书 · 梵我合一|-700|把终极追问从祭祀转向内心,梵与我本是一体——印度形而上学的起点。|0:Philbar_4.png
ren_scythians|斯基泰游牧联盟|-700|马背上的联盟没有城墙,靠弓箭和金饰划定势力范围。|0:Scythia-Parthia_100_BC.png
pol_sparta_constitution|斯巴达军事寡头政制|-650|把全体公民变成职业军人,自由被兑换成了纪律。|0:Sparta_Territory.svg ;; 1:Sparta_ruins.PNG ;; 2:Ithome2.jpg
pol_magadha_rise|摩揭陀国崛起|-600|恒河边一个诸侯国,靠吞并邻居长成了孔雀王朝的底盘。|0:North_Gateway_-_Rear_Side_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4480-4481.JPG
rel_jain|耆那教|-527|连呼吸都怕伤到虫子——把不杀生做到极致的一套生存哲学。|0:In-jain.svg ;; 1:Tirthankaras.jpg ;; 2:Worshippers_leaving_the_temple_in_Ranakpur.jpg
pol_twelve_tables|罗马法典编纂 · 十二铜表法|-450|把贵族口头特权刻上铜板,平民第一次能查到法律长什么样。|0:Roman_SPQR_banner.svg
ren_celts|凯尔特人群认同|-450|没有统一的国王,一种物件风格却能认出半个欧洲的自己人。|0:Celts_in_Europe-fr.svg ;; 1:Galician_Celtic_Stele_-_Estela_Galaica.jpg ;; 2:0910_Tracht_der_Kelten_in_Südpolen_im_3._Jh._v._Chr.JPG
phi_cynicism|犬儒学派 · 第欧根尼|-350|住木桶、当众进食,用羞辱常规的方式问文明规矩哪条是天经地义。|0:Cinico_Capitolini.jpg ;; 1:Hercules_Musei_Capitolini_MC1265_n2.jpg ;; 2:Cratis_Thebani_Cynici_philosophi,_1501_-_frontispiece.png
phi_zhuangzi|庄子 · 齐物论|-320|庄周梦蝶,分不清是人梦见了蝶还是蝶梦见了人——是非本无固定尺度。|0:Zhuangzi_book.JPG
phi_skepticism_pyrrho|皮浪怀疑论 · 悬置判断|-320|对一切命题都不下判断,心才能真正安宁——怀疑本身也是一种解脱。|0:Petrarca-Meister_001.jpg
phi_epicureanism|伊壁鸠鲁学派 · 花园学派|-306|快乐是善,但最大的快乐是没有恐惧——享乐主义被讲成了节制。|0:Epicurus_bust2.jpg
phi_stoicism|斯多亚学派 · 芝诺|-300|不是世界让人痛苦,是人对世界的判断让人痛苦。|0:Zeno_of_Citium_pushkin.jpg ;; 1:Antisthenes_Pio-Clementino_Inv288.jpg ;; 2:Marcus_Aurelius_Metropolitan_Museum.png
pol_maurya_ashoka|阿育王 · 摩崖法敕|-268|打完最血腥的一仗后,这位帝王把征服换成了刻在石头上的劝善令。|0:Ashoka's_visit_to_the_Ramagrama_stupa_Sanchi_Stupa_1_Southern_gateway.jpg ;; 1:Ashoka_pillar_at_Vaishali,_Bihar,_India_2007-01-29.jpg ;; 2:Lomas_Rishi_entrance.jpg
rel_theravada_srilanka|上座部立教 · 斯里兰卡|-247|佛经先是被背下来的,直到岛国怕战乱失传才第一次落笔成书。|0:Dharma_Wheel.svg ;; 1:Buddhist_sects.png ;; 2:Photograph_of_Jaya_Sri_Maha_Bodhi_Anuradhapura_Sri_Lanka.jpg
phi_xunzi|荀子 · 性恶论|-240|人性本恶,善是礼法教化磨出来的——荀子替儒家补上了强制这一课。|0:战国时楚兰陵令荀况.jpg
pol_qin_system|秦制 · 郡县与法家集权|-221|废掉封国、统一度量衡与文字,秦把大一统焊进了两千年政治底盘。|0:Qin_empire_210_BCE_TC.jpg ;; 1:秦灭六国形势图.png ;; 2:Qinshihuang.jpg
ren_xiongnu|匈奴联盟|-209|冒顿单于把分散部落拧成一股绳,草原第一次有了帝国的样子。|0:XiongnuMap.png ;; 1:Chinggis_Khaan_statue_Complex.jpg ;; 2:Reproduction_Hunnu_bow_-_National_Museum_of_Mongolian_History.jpg
ren_germanic|日耳曼诸部形成|-200|罗马人嫌他们太多太散,后来却是这群人埋葬了罗马。|0:Gehrts_Armin_verabschiedet_sich_von_Thusnelda_1884.jpg
pol_han_centralize|推恩令 · 汉代削藩|-127|不用打仗削藩:让诸侯的儿子们分家产,封地自己就碎了。|0:汉初齐地郡国.png
rel_mithraism|密特拉密仪|100|军团士兵在地下密室分食圣餐——罗马最流行的地下俱乐部式信仰。|0:Mithra_sacrifiant_le_Taureau-005.JPG ;; 1:MithraReliefvert.jpg ;; 2:MithrasIMG_5339.JPG
rel_mahayana|大乘佛教兴起|100|从自己解脱到人人都能成佛——一次把佛教受众从修行者扩大到全人类的改造。|0:Ashtamangala_Lotus.svg ;; 1:Preaching_Buddha_Flanked_by_Avalokitesvara_and_Maitreya_-_Schist_-_ca_2nd_Century_CE_-_Gandhara_-_Loriyan_Tangai_-_ACCN_5093_-_Indian_Museum_-_Kolkata_2016-03-06_1511.JPG ;; 2:Buddhist_sects.png
phi_nagarjuna|中观哲学 · 龙树|150|万物没有独立不变的自性,连"空"本身也不能被执着当真理。|0:Nagarjuna_with_84_mahasiddha_cropped.jpg ;; 1:Nalanda_University_India_ruins.jpg ;; 2:Mandala1_detail.jpg
rel_gnosticism|诺斯底主义|150|救赎不靠信,靠悟——一群人坚持神秘知识才是逃出物质牢笼的钥匙。|0:Universum.jpg
pol_teotihuacan_gov|特奥蒂瓦坎集体治理|200|全城最大的建筑不是王宫,考古学家至今找不到这里的国王是谁。|0:Teotihuacán-5973.JPG ;; 1:Mexico_SunMoonPyramid.jpg ;; 2:Pyramid_of_Moon.JPG
rel_manichaeism|摩尼教|240|把光明与黑暗写成一部通用剧本——一度差点成为半个欧亚大陆的国教。|0:Manicheans.jpg ;; 1:Sermon_on_Mani's_Teaching_of_Salvation._Cathayan_Manichaean_silk_painting,_13th-century.jpg ;; 2:Yüen_dynasty_Manichaean_diagram_of_the_Universe.jpg
arc_manichaeism|摩尼教东传中亚|250|波斯先知的教义一路向东,竟成了草原汗国的国教。|0:Manicheans.jpg ;; 1:Sermon_on_Mani's_Teaching_of_Salvation._Cathayan_Manichaean_silk_painting,_13th-century.jpg ;; 2:Yüen_dynasty_Manichaean_diagram_of_the_Universe.jpg
pol_gupta_admin|笈多帝国治理|320|中央不管闲事,笈多靠地方自治撑起了黄金时代。|0:GuptaEmpire300-550.png ;; 1:North_Gateway_-_Rear_Side_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4480-4481.JPG ;; 2:KumaraguptaFightingLion.jpg
rel_nicaea|尼西亚公会议|325|三百多名主教投票表决神的本质——教义第一次靠开会定案而不是靠权威宣布。|0:Council_Trent.jpg ;; 1:Council_Trent.jpg
rel_ethiopian_church|埃塞俄比亚正教会|330|非洲最早的国教基督教,比欧洲大多数王国改宗还早了几百年。|0:Addis_abeba,_chiesa_della_trinità,_esterno_01.jpg ;; 1:ChristCopticArt.png ;; 2:Sample_of_Ge'ez_writing.jpg
ren_huns|匈人冲击与民族大迁徙|370|谁也说不清匈人从哪来,罗马却因为躲他们而轰然倒塌。|0:Eurasian_steppe_belt.jpg ;; 1:Hsiung-nu-Empire.png ;; 2:Hunnenwanderung.png
ren_goths|哥特人分支认同|376|逃难逃出两个国家,一支蛮族反倒把罗马的遗产接过手。|0:Evariste-Vital_Luminais_-_Goths_traversant_une_rivière.jpg
rel_pure_land|净土宗|402|不用参透玄理,念一句佛号就能往生——把成佛的门槛降到人人可及。|0:Chinese_temple_bouddha.jpg ;; 1:Amitabha_Sutra_book.jpg ;; 2:Seated_Buddha_Amitabha_statue.jpg
rel_talmud_babylon|巴比伦塔木德|500|把几百年的口头辩论攒成一部随身携带的国家——书就是犹太人的祖国。|0:First_page_of_the_first_tractate_of_the_Talmud_(Daf_Beis_of_Maseches_Brachos).jpg
pol_justinian_code|查士丁尼法典|529|把六百年判例清理成一部法典,欧洲大陆法系的祖本就此定型。|0:Archive-ugent-be-B96419FA-8AA4-11E3-9E68-C04DD43445F2_DS-441_(cropped).jpg ;; 1:Mosaic_of_Justinianus_I_-_Basilica_San_Vitale_(Ravenna).jpg
pol_khmer_chenla|扶南真腊早期政体|550|湄公河边的港口国,把印度的王权符号用成了自己的合法性招牌。|0:Chen-La_locator.png
rel_nestorian_china|景教东传|635|一群叙利亚僧侣走了几千公里,把十字架立在了长安城里。|0:00058_christ_pantocrator_mosaic_hagia_sophia_656x800.jpg
rel_quran_codify|古兰经定本|650|一位哈里发下令统一读法,烧掉其余版本——经文从此只剩一个官方声音。|0:Qur'an_and_Rehal.jpg ;; 1:Quran_cover.jpg ;; 2:Lower_city,_Petra.jpg
pol_silla_unify|新罗统一朝鲜半岛|676|借来的军队打完仗就翻脸赶走,新罗靠这招独吞了半岛。|0:Military_Banner_of_Silla.svg ;; 1:Seal_of_Silla.png ;; 2:History_of_Korea_576_ja.png
rel_sunni_shia|逊尼什叶分野|680|一场继承权之争打了一千三百多年——卡尔巴拉的血让分裂成了信仰本身。|0:Brooklyn_Museum_-_Battle_of_Karbala_-_Abbas_Al-Musavi_-_cropped.jpg
ren_berbers|柏柏尔人身份存续|700|腓尼基人、罗马人、阿拉伯人轮番统治,名字却一直是自己的。|0:Masensen_bust.jpg ;; 1:Ṭāriq_ibn_Ziyād,_Sayr_mulhimah_min_al-Sharq_wa-al-Gharb.png ;; 2:Saint_Augustine_by_Philippe_de_Champaigne.jpg
rel_shinto_kojiki|神道成典|712|把口耳相传的创世神话第一次写成官方历史——神道教从此有了国家版本。|0:Kojiki_Shinpukuji.jpg
rel_vajrayana_tibet|密宗入藏|775|咒语、手印和灌顶仪式打包传入雪域——把成佛说成可以速成的一件事。|0:Ritual_object_from_Japan,_Kamakura_period,_13th-14th_century,_gilt_bronze,.JPG ;; 1:Taizokai.jpg ;; 2:Kongokai.jpg
phi_adi_shankara|商羯罗 · 不二论吠檀多|800|世界是幻,唯有梵是真——一套逻辑把奥义书的直觉讲成了体系。|0:Raja_Ravi_Varma_-_Sankaracharya.jpg
pol_charlemagne_coronation|查理曼加冕|800|一顶罗马皇冠戴在法兰克国王头上,西欧从此有了统一的执念。|0:Statuette_équestre_dite_de_Charlemagne_-_Musée_du_Louvre_Objets_d'Art_OA_8260.jpg
ren_sami|萨米人驯鹿认同|800|国界画过驯鹿的牧场四次,萨米人的迁徙历法照样没变。|0:Sami_flag.svg
phi_al_kindi|阿尔·肯迪 · 阿拉伯逍遥学派|850|被称作阿拉伯人的哲学家,他把希腊理性第一次系统译入伊斯兰世界。|0:Al-Kindi_Portrait.jpg
rel_sufism|苏菲派|900|跳着舞、转着圈去见真主——伊斯兰教里那条通向神秘体验的近道。|0:Shahrukne_Alam.jpg ;; 1:Whirling_Dervishes_2.JPG ;; 2:Sudan_sufis.jpg
ren_tupi|图皮人群网络|900|语言比国界更早统一了半个巴西海岸。|0:Homtupinamba.jpg ;; 1:India_tupi.jpg ;; 2:Brazil_topo.jpg
ren_uyghur|维吾尔人绿洲定居|900|草原上的可汗国垮了,子民却在绿洲上活成了农耕城邦。|0:Yusuphas_hajip.jpg ;; 1:Xinjiang,_China_(27637373703).jpg ;; 2:Portrait_of_Amanni_Shahan._Yarkand._2011.jpg
rel_ismaili_fatimid|伊斯玛仪与法蒂玛王朝|909|什叶派的一个分支不甘只当反对派,直接开国称哈里发对打巴格达。|0:White_flag_3_to_2.svg ;; 1:Fatimid_Caliphate.PNG ;; 2:All_Gizah_Pyramids.jpg
pol_chola_village|朱罗王朝村社自治|920|石碑刻着选举细则,一千年前的南印度村庄已在抽签罢免委员。|0:Flag_of_Chola_Kingdom.png ;; 1:Rajendra_territories_cl.png ;; 2:North_Gateway_-_Rear_Side_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4480-4481.JPG
rel_parsi_sanjan|帕西人|936|逃难时只带了圣火——一小群人靠一炉火种把祆教活着带出了波斯。|0:Faravahar.svg ;; 1:Parsi-family-in-traditional-costume.jpg ;; 2:Parsi-navjote-sitting.jpg
ren_parsi|帕西人 · 祆教避难者|936|带着圣火逃亡的难民,后来成了印度商界的顶梁柱。|0:Faravahar.svg ;; 1:Parsi-family-in-traditional-costume.jpg ;; 2:Parsi-navjote-sitting.jpg
phi_al_farabi|法拉比 · 政治哲学与德城|950|被尊为仅次于亚里士多德的"第二导师"——他想为哲人王的城邦找一套逻辑。|0:Al-Farabi.jpg
rel_kievan_rus|罗斯受洗|988|大公娶了拜占庭公主当彩礼——一整个民族的信仰就此改姓东正教。|0:Lebedev_baptism.jpg
rel_yoruba_ifa|约鲁巴宗教|1000|扔几颗棕榈果就能问出神谕——一整套非洲占卜体系后来漂洋过海重生。|0:Osun_Osogbo_Festival_of_Yoruba_Water_Deity_08.jpg
phi_ibn_sina|伊本·西那 · 存在与本质|1020|想象一个悬空、感觉不到身体的人——他仍然知道自己存在。|0:Aboali_Avicenne_Medicin_1500s.jpg
rel_theravada_bagan|蒲甘弘法|1056|一位国王抢来一整套三藏经典,只为让全国信同一种佛教。|0:Anawrahta_at_National_museum.JPG
phi_al_ghazali|安萨里 · 哲学家的矛盾|1095|因果不过是习惯性的先后相续,神随时能让火不烧棉花。|0:أبو_حامد_الغزالي.png ;; 1:Haruniyeh.JPG ;; 2:Munqidh_min_al-dalal_(last_page).jpg
ren_inuit_thule|因纽特人北极适应|1100|捕鲸技术一路向东传,把北极圈住成一个文化区。|0:Cambridge_Bay_Thule_Site_1998-06-28.jpg ;; 1:Arctic_cultures_900-1500.png
pol_iroquois_confederacy|易洛魁联盟宪制|1142|五个互相仇杀的部落坐下来定规矩,口传宪法管了几百年。|0:Flag_of_the_Iroquois_Confederacy.svg ;; 1:Haudenosaunee_Territory.png ;; 2:Long_House_Iroquois_Allen.jpg
phi_ibn_rushd|伊本·鲁世德 · 双重真理|1180|写了一整本书反驳安萨里,书名就叫《不一致的不一致》。|0:Andrea_di_bonaiuto,_apoteosi_di_san_tommaso_d'aquino,_11_averroè.jpg ;; 1:Philbar_4.png ;; 2:Statue_of_Averroes_(Córdoba)_-_BAE09705.jpg
phi_maimonides|迈蒙尼德 · 迷途指津|1190|教信众怎样既信摩西也信亚里士多德——理性与启示不必二选一。|0:Ben_Maimónides._Córdoba,_España-eue.jpg ;; 1:Almohads1200.png ;; 2:Guide_for_the_Perplexed_by_Maimonides.jpg
ren_rapanui|拉帕努伊人的孤岛文明|1200|把森林刻成石像的岛民,最后连造船的木头都不剩。|0:Rapanookee_vona.jpg ;; 1:Easter_Island_Man.jpg ;; 2:Easter_Island_Woman.jpg
pol_delhi_sultanate|德里苏丹国|1206|骑兵总督自立为王,北印度第一次有了长期的伊斯兰苏丹政权。|0:Map_of_the_Mamluk_Dynasty.png ;; 1:Map_of_the_Khalji_Sultanate.png ;; 2:Map_of_the_Tughlaqs.png
pol_magna_carta|大宪章|1215|贵族逼国王签字画押,王权第一次被白纸黑字关进笼子。|0:Magna_Carta_(British_Library_Cotton_MS_Augustus_II.106).jpg
phi_dogen|道元 · 身心脱落与有时|1231|打坐不是成佛的手段,坐着本身就已经是佛——修行和目标被合而为一。|0:禪-ouyang.svg
rel_inquisition|宗教裁判所|1231|教会成立专职机构去审判“错误的信仰”——异端第一次有了标准审讯流程。|0:Galileo_before_the_Holy_Office_-_Joseph-Nicolas_Robert-Fleury,_1847.png
pol_ethiopia_solomonic|埃塞俄比亚所罗门王朝复辟|1270|靠一个"我们是所罗门后代"的传说,新王朝把自己焊进了圣经谱系。|0:Imperial_coat_of_arms_of_Ethiopia_(Haile_Selassie).svg ;; 1:'The_Visit_of_the_Queen_of_Sheba_to_King_Solomon',_oil_on_canvas_painting_by_Edward_Poynter,_1890,_Art_Gallery_of_New_South_Wales.jpg ;; 2:Lebna_Dengel.png
ren_hui|回族的形成|1275|波斯商人留下的不只是货物,还有一整支新的族群。|0:Islam_in_China.jpg ;; 1:Zheng_He.jpg ;; 2:Minister1.jpg
pol_ottoman_rise|奥斯曼国家草创|1299|边境上一小群突厥骑兵,两百年后长成横跨三洲的帝国。|0:Osman_Gazi2.jpg ;; 1:Sultan_Uthman_I.jpg ;; 2:Paolo_Veronese_(Nachfolger)_-_Sultan_Osman_I._-_2242_-_Bavarian_State_Painting_Collections.jpg
ren_maori|毛利人定居新西兰|1300|太平洋最后一块岛屿,被独木舟舰队按部落瓜分完毕。|0:Haka_performed_during_US_Defense_Secretary's_visit_to_New_Zealand_(1).jpg ;; 1:Te_Puni_Maori_Chief.jpg ;; 2:Poumatua2.jpg
phi_ibn_khaldun|伊本·赫勒敦 · 历史绪论|1377|王朝像人一样会老会死,撑着它的不是天命,是部落的凝聚力。|0:Ibn_Khaldūn_by_Khalil_Gibran.png ;; 1:Handwriting_of_Ibn_Khaldūn,_al-Muqaddima,_MS_Atıf_Efendi_1936,_f._7a.png
pol_joseon_founding|朝鲜王朝建立|1392|一场兵变换了国号,却把儒家官僚制焊得比前朝更紧。|0:Flag_of_the_king_of_Joseon.svg ;; 1:Gyeongbok-gung_palace-05_(xndr).jpg ;; 2:King_Taejo_Yi_02.jpg
rel_mesoamerican|阿兹特克宗教|1428|太阳每天升起都欠着一笔血债——一个文明靠活人献祭为宇宙续命。|0:Aztec_calendar.svg
ren_ryukyu|琉球人身份|1429|夹在两个大国中间的岛国,靠两头朝贡换来两百年独立。|0:Danses_d’Okinawa_(musée_Guimet,_Paris)_(11152072573).jpg ;; 1:Five_men_wearing_Ryukyuan_Dress.JPG ;; 2:Kamekoubaka.jpg
pol_inca_admin|印加帝国行政体系|1438|没有文字也能管一个帝国:绳结记账,道路才是真正的宪法。|0:Suntur_Paucar.svg ;; 1:80_-_Machu_Picchu_-_Juin_2009_-_edit.2.jpg ;; 2:Capitulo-XXXVIII.jpg
rel_andean_religion|印加太阳信仰|1438|皇帝本人就是太阳的儿子——把统治合法性直接焊死在神谱最顶端。|0:80_-_Machu_Picchu_-_Juin_2009_-_edit.2.jpg
rel_wali_songo|爪哇伊斯兰化|1450|传说中的九位圣人,把伊斯兰教包装成本地皮影戏演给爪哇人看。|0:Id-siak1.GIF ;; 1:Nicolaes_Visscher_Indiae_Orientalis.jpg ;; 2:Masjid_demak.jpg
pol_songhai_empire|桑海帝国官僚与教法|1493|军人皇帝上台第一件事,是把行政权交给了法官和学者。|0:Songhai_Empire_(orthographic_projection).svg
rel_sikh_nanak|锡克教创立|1499|河边失踪三天回来后说了一句“既非印度教徒也非穆斯林”——一个新信仰的开场白。|0:Sikh_Gurus_with_Bhai_Bala_and_Bhai_Mardana.jpg
ren_pashtun|普什图部落认同|1500|没有中央政府管得住,一部不成文的荣誉法典却能。|0:King_Amanullah_Khan.jpg ;; 1:Abdul_Qadeer_Khan.jpg ;; 2:Sayyid_Dschamāl_ad-Dīn_al-Afghānī.jpg
ren_hazara|哈扎拉人|1500|面容里藏着草原的痕迹,却在兴都库什山里扎根成什叶飞地。|0:Hazara_man,_Khulm.jpg ;; 1:Hazaras_of_Afghanistan_in_1879-80.jpg ;; 2:Hazara_of_Daykundi_province.jpg
ren_cossacks|哥萨克人|1500|逃亡农奴凑成的边民,后来成了帝国最锋利的一把刀。|0:Ilja_Jefimowitsch_Repin_-_Reply_of_the_Zaporozhian_Cossacks_-_Yorck.jpg ;; 1:Kubanskie_kazaki_2.jpg ;; 2:Novosibirsk-Karimov.jpg
pol_encomienda_spanish|西属美洲监督劳役制|1503|名义上是保护,实际是把原住民连人带地一并分给了殖民者。|0:Francisco_Hernandez_Giron_2.jpg ;; 1:Kingsborough.jpg
phi_wangyangming|阳明心学 · 知行合一|1509|知而不行,只是未知——贬谪的绝境里想通了良知不必外求。|0:蔡世新_王阳明肖像轴_(cropped).jpg ;; 1:王守仁容像.jpg ;; 2:Lushan_Xiufeng_Moya_2018.06.10_11-24-22.jpg
rel_anglican_schism|英国国教会|1534|教皇不批离婚,国王干脆自己当教皇——一场婚姻纠纷分裂出一整个教会。|0:Logo_of_the_Church_of_England.svg
rel_jesuit_order|耶稣会|1540|不建修道院,直接派人进宫廷和课堂——一支专为对抗宗教改革设计的特种部队。|0:Ihs-logo.svg
ren_mapuche|马普切人抗征服认同|1550|唯一挡住了印加又挡住西班牙三百年的南美人群。|0:Cacique_Colo-Colo.jpg ;; 1:Lautaro_(de_Pedro_Subercaseaux).jpg ;; 2:Galvarino.jpg
rel_kabbalah_safed|萨费德卡巴拉|1570|把犹太人被逐出西班牙的苦难,解释成宇宙本身破碎待修——神秘主义安慰了一整代难民。|0:Tree_of_Life,_Medieval.jpg
pol_dutch_republic|荷兰联省共和国宪制|1581|七个省联名宣布国王下岗,共和制第一次在欧洲扎下根。|0:Anthonie_Heinsius.JPG
rel_huguenot_edict|南特敕令|1598|打了三十多年内战才想明白——同一个国家其实可以装下两种信仰。|0:Édit_de_Nantes._Page_24_-_Archives_Nationales_-_AE-II-763.jpg ;; 1:Cathédrale_Saint-Pierre_de_Nantes_-_façade.jpg
ren_mestizo|梅斯蒂索混血身份|1600|殖民者发明的血统等级表,意外定义了整个拉美的自我认知。|0:Porfirio_Diaz_civilian.jpg
pol_tokugawa_bakuhan|德川幕府藩体制|1603|将军闭上国门,却打开了两百多年不打仗的太平日子。|0:Flag_of_the_Tokugawa_Shogunate.svg ;; 1:1855_Colton_Map_of_Japan_-_Geographicus_-_Japan-colton-1855.jpg ;; 2:Tokugawa_Ieyasu2.JPG
phi_descartes|笛卡尔 · 我思故我在|1637|怀疑一切能怀疑的,最后剩下不能怀疑的,只有正在怀疑这件事本身。|0:Frans_Hals_-_Portret_van_René_Descartes.jpg ;; 1:Descartes2.jpg ;; 2:DescartesGraduationRegistry.JPG
rel_quaker|贵格会|1652|没有牧师也没有仪式,人人都能直接听见神说话——教会组织被简化到极致。|0:Quaker_star-T.svg
pol_maratha_confederacy|马拉塔联盟政治|1674|一个山地领主自封为王,搅动了整个南亚次大陆的权力平衡。|0:India1760_1905.jpg ;; 1:North_Gateway_-_Rear_Side_-_Stupa_1_-_Sanchi_Hill_2013-02-21_4480-4481.JPG
