id|标题|领域|年份|一句话
ren_maroon|马龙人自治社群|ren|1605|逃出种植园的奴隶,在雨林深处建起了另一个国家。
phi_descartes|笛卡尔 · 我思故我在|phi|1637|怀疑一切能怀疑的,最后剩下不能怀疑的,只有正在怀疑这件事本身。
pol_qing_tribute|明清朝贡体系|pol|1644|不派兵驻扎,靠磕头和赏赐维持一整圈的地区秩序。
phi_hobbes|霍布斯 ·《利维坦》|phi|1651|没有共同权力的自然状态里人对人是狼,所以人才需要一个怪兽。
rel_quaker|贵格会|rel|1652|没有牧师也没有仪式,人人都能直接听见神说话——教会组织被简化到极致。
ren_boers|阿非利卡人的形成|ren|1652|补给站待久了,荷兰人不再自称荷兰人。
phi_zera_yacob|扎拉·雅各布 · 埃塞俄比亚理性|phi|1667|逃进山洞躲避宗教迫害,他想明白了该用理性检验一切启示。
pol_maratha_confederacy|马拉塔联盟政治|pol|1674|一个山地领主自封为王,搅动了整个南亚次大陆的权力平衡。
phi_spinoza|斯宾诺莎 · 神即自然|phi|1677|神不在世界之外发号施令,神就是世界本身运行的必然规律。
ren_huguenot|胡格诺教徒离散|ren|1685|国王一道诏书收回宽容,却把一整批技术工匠送给了对手。
phi_locke|洛克 · 白板说与政府论|phi|1689|心灵生来是一块白板,经验才在上面写下所有观念。
pol_english_bill_rights|英国权利法案|pol|1689|议会请国王夫妇来即位,条件是先在合同上签字放权。
rel_sikh_khalsa|卡尔萨建立|rel|1699|上师当众要信徒交出人头考验忠诚——一场极限测试建出了一支信仰军团。
ren_creole_caribbean|加勒比克里奥尔认同|ren|1700|种植园里凑不成一种语言,却拼出了一整套新文化。
pol_asante_kingdom|阿散蒂联盟政治|pol|1701|一张金凳子被奉为国魂,几个部落靠它拧成了一个王国。
pol_utrecht_treaty|乌得勒支和约与均势原则|pol|1713|战胜国主动放弃部分战果,只为不让任何一方独大。
phi_leibniz|莱布尼茨 · 单子论|phi|1714|宇宙由无数彼此不开窗的单子构成,却被预先设定得完美同步。
pol_peter_great_reform|彼得大帝西化改革|pol|1721|沙皇亲自去西欧船厂当学徒,回国后剪了贵族的胡子和长袍。
phi_hume|休谟 · 因果的习惯|phi|1739|太阳明天会升起不是逻辑必然,只是我们看多了习惯性相信。
rel_hasidism|哈西迪运动|rel|1740|不必精通律法典籍,喜悦地跳舞唱歌就能亲近神——犹太教里的一场平民狂欢。
rel_wahhabi|瓦哈比运动|rel|1744|一位学者和一位酋长握手,约定用最严格的一神论重塑半岛——后来那个约定建成了一个国家。
pol_comanche_empire|科曼奇北美平原权力体|pol|1750|没有首都也没有官僚,一群骑马的猎人却让殖民帝国绕道走。
ren_gullah|海岛盖拉人的西非记忆|ren|1750|被隔在海岛上种稻的奴隶后代,守住了同乡最难留住的口音。
phi_dai_zhen|戴震 · 以理杀人之辨|phi|1777|礼教吃人不是礼教本身的错,是有人拿"理"当刀子在杀人。
phi_utilitarianism|功利主义 · 边沁的快乐计算|phi|1789|对错不看动机看后果,能算出最多人的最大快乐就是最对的选择。
pol_haiti_revolution|海地革命|pol|1791|奴隶自己动手,把种植园殖民地变成了世界第一个黑人共和国。
rel_vodou_haiti|海地伏都教|rel|1791|一场雨林里的宗教仪式点燃了起义的火种,烧出了美洲第一个黑人共和国。
rel_santeria|圣特里亚教|rel|1800|把约鲁巴神明藏进天主教圣像背后——被奴役者用伪装保住了自己的神。
phi_hegel|黑格尔 · 辩证法与精神|phi|1807|历史不是杂乱的偶然,是绝对精神通过矛盾不断认识自己的过程。
pol_hawaii_kingdom|夏威夷王国统一|pol|1810|借来的西式火炮,让一位酋长第一次把所有岛屿捏成了一个王国。
pol_congress_vienna|维也纳会议与均势体系|pol|1815|战胜国关起门来重画地图,只为让下一场大战晚点到来。
pol_zulu_kingdom|祖鲁王国军事政制|pol|1816|一位年轻酋长改了作战队形,整个南部非洲的势力版图就此洗牌。
ren_metis_canada|梅蒂人 · 加拿大混血民族|ren|1816|皮毛贸易生下的族群,打赢过一场仗才换来宪法里的名分。
phi_schopenhauer|叔本华 · 生存意志|phi|1818|世界的内核不是理性,是一股盲目、永不满足的求生意志在推动一切。
ren_nguni_zulu|祖鲁人的姆费卡内重组|ren|1818|沙卡把一个小部落练成军事机器,顺带震碎了半个南部非洲。
pol_bolivar_independence|玻利瓦尔与拉美独立战争|pol|1819|一个人骑马跨越安第斯山,身后跟着好几个即将诞生的国家。
phi_positivism_comte|孔德 · 实证主义与社会学|phi|1830|知识从神学、形而上学一路进化到实证科学,社会本身也能被这样研究。
rel_mormon_founding|摩门教创立|rel|1830|一本刻在金页片上的“新大陆圣经”——美国本土第一次长出自己的先知传统。
ren_anglo_indian|英印混血社群|ren|1830|殖民地铁路靠他们运转,英国和印度却都不太认他们是自己人。
pol_britain_abolition|大英帝国废除奴隶制法案|pol|1833|用两千万英镑赎买"财产",奴隶主比奴隶先拿到了赔偿。
rel_tenrikyo|天理教|rel|1838|一位农妇附体说话,自称神明借她之口重新造人——日本新宗教的开山之作。
pol_ottoman_tanzimat|奥斯曼坦志麦特改革|pol|1839|帝国宣布境内臣民不分信仰一律平等,试图用改革续命。
phi_kierkegaard|克尔凯郭尔 · 信仰之跃|phi|1843|理性没法证明该不该信仰,那一步只能靠纵身一跃自己迈过去。
rel_adventist|米勒运动|rel|1844|算好日子等世界末日,结果那天什么都没发生——一场“大失望”意外孵化出新教派。
ren_qiaopi|侨批网络|ren|1850|一封信捎着一沓钱,潮汕人靠水客把整个家族网养活百年。
pol_indian_rebellion_1857|印度民族大起义|pol|1857|士兵拒绝咬开一发涂了油脂的子弹,一整个殖民统治体系应声动摇。
rel_bahai|巴哈伊信仰|rel|1863|所有先知说的其实是同一件事——一神论历史上最直白的一次“求同”宣言。
pol_us_civil_war_13th|美国内战与废奴修正案|pol|1865|一场内战打完,宪法第一次把"人不能是财产"写进正文。
pol_meiji_restoration|明治维新|pol|1868|武士自己动手废掉武士特权,只为让国家不被列强吞掉。
rel_theosophy|神智学|rel|1875|一位俄国灵媒宣称接通了喜马拉雅隐世大师——把东方宗教包装成了西方时髦货。
phi_pragmatism|实用主义 · 实效准则|phi|1878|一个概念的全部意义,就是它在实践中带来的效果,别无其他。
phi_analytic_frege_russell|分析哲学 · 弗雷格的概念文字|phi|1879|把逻辑推理彻底符号化,数学的真假第一次能像算术一样被验算。
ren_chinatown|唐人街侨社自治|ren|1882|排华法案把大门焊死,侨社却在门内建起了一整套自治政府。
phi_nietzsche|尼采 · 上帝已死|phi|1883|上帝已死,旧道德失去了靠山,人得自己给自己的价值签字。
pol_berlin_conference|柏林会议瓜分非洲|pol|1884|十几个欧洲国家围着地图分蛋糕,桌上没有一个非洲人。
rel_ahmadiyya|艾哈迈迪亚运动|rel|1889|自称是等待已久的救世主,却因此被主流教派逐出伊斯兰的大门。
rel_ghost_dance|幽灵舞运动|rel|1890|围成圈跳一种舞就能唤回祖先、赶走殖民者——绝境中的一次宗教总动员。
ren_ellis_island|移民甄别站|ren|1892|自由女神像脚下,一道体检和问询决定了谁能留下。
pol_nz_suffrage|新西兰妇女普选权|pol|1893|全民公决前先给女性投票权,新西兰抢跑了半个地球。
rel_world_parliament|世界宗教议会|rel|1893|十个陌生宗教的代表第一次同台演讲——多元信仰共存开始被当成常态讨论。
rel_vivekananda|辨喜与印度教复兴|rel|1897|在美国一鸣惊人后回国办教团——印度教第一次学会向世界推销自己。
rel_secularization|世俗化 · 政教分离|rel|1905|国家宣布不再有官方信仰——政府第一次公开对所有宗教一视同仁地保持距离。
rel_pentecostal_azusa|五旬节运动|rel|1906|一间旧马厩改的教堂里,黑人牧师带头说方言——今天全球四分之一基督徒的信仰源头。
rel_umbanda|温班达教|rel|1908|非洲神明、印第安亡灵和降灵会法术打包上桌——巴西端出的一道信仰大杂烩。
phi_kyoto_school|京都学派 · 绝对无|phi|1911|把"无"当作比"有"更根本的场所,禅的体验穿上了西方哲学的外衣。
phi_husserl|现象学 · 回到事物本身|phi|1913|把关于世界是否真实的预设先悬置起来,老实描述意识里显现了什么。
ren_armenian_diaspora|亚美尼亚大离散|ren|1915|故土只剩零星几处,教堂和字母却把散落世界的人系在一起。
rel_won_buddhism|圆佛教|rel|1916|用一个圆圈代替佛像当信仰核心——韩国人给佛教做了一次极简主义改造。
phi_tagore_humanism|泰戈尔 · 普世人文主义|phi|1917|民族主义是把机器当成了信仰,他更愿意相信人不分国界的相通。
rel_native_american_church|美洲原住民教会|rel|1918|把致幻仙人掌当圣餐——一种跨部落宗教靠合法化一株植物延续下来。
pol_league_of_nations|国际联盟与凡尔赛体系|pol|1919|人类第一次为永久和平设了个总部,却没给它配军队。
pol_weimar_constitution|魏玛共和国宪法|pol|1919|当时全世界最民主的一部宪法,十几年后被合法地投票废掉。
pol_womens_suffrage_wave|妇女普选权修宪浪潮|pol|1920|用了七十多年游说和示威,才换来一次修宪投票。
ren_kurds|库尔德人 · 无国之族|ren|1920|地图画了一条边界,四个国家都分到了一块库尔德斯坦。
phi_wittgenstein|维特根斯坦 · 语言的界限|phi|1921|凡是能说清楚的都能说清楚,凡是说不清楚的,就该保持沉默。
rel_kimbanguism|金邦古教会|rel|1921|一位刚果先知治病赶鬼引来数万人围观,殖民当局的反应是判他终身监禁。
rel_cao_dai|高台教|rel|1926|把耶稣、佛陀、孔子和维克多·雨果供在同一座殿里——一次把全人类信仰合并同类项的尝试。
phi_heidegger|海德格尔 ·《存在与时间》|phi|1927|两千年哲学一直在问存在者是什么,却没正经问过存在本身是什么。
phi_mariategui|马里亚特吉 · 秘鲁现实七论|phi|1928|照搬欧洲教科书解释不了秘鲁,马克思主义得先掺进土地问题。
phi_process_whitehead|怀特海 · 过程哲学|phi|1929|世界的基本单位不是静止的实体,是一个个正在生成的事件。
pol_gandhi_salt_march|甘地食盐进军|pol|1930|走到海边捧起一把盐,就是对帝国专卖制度最响亮的犯规。
rel_rastafari|拉斯塔法里|rel|1930|一位非洲皇帝加冕,牙买加穷人却看见了救世主降临。
phi_popper|波普尔 · 证伪主义|phi|1934|再多例证也证明不了一个理论为真,一个反例却足以推翻它。
phi_frankfurt_school|法兰克福学派 · 批判理论|phi|1937|工具理性把人从神话中解放出来,却又造出了新的、更精致的牢笼。
ren_bracero|墨西哥短工计划|ren|1942|战时缺人手,墨西哥短工被请进来又被随时请出去。
pol_un_founding|联合国宪章|pol|1945|二战刚打完,战胜国就先给自己留了一票否决权。
pol_nuremberg_trials|纽伦堡审判|pol|1945|第一次有法庭对"我只是服从命令"说不。
pol_india_partition|印度独立与印巴分治|pol|1947|一条仓促画出的边界线,让同一片土地上的邻居连夜互换了国籍。
pol_universal_declaration|世界人权宣言|pol|1948|一份不具法律约束力的文件,却成了此后所有人权立法的共同底本。
ren_windrush|疾风世代|ren|1948|英国请他们来重建家园,几十年后却怀疑他们的国籍。
phi_feminist_theory_beauvoir|波伏娃 ·《第二性》|phi|1949|女人不是天生的,是被后天一步步塑造成的。
pol_chinese_revolution_1949|中华人民共和国成立|pol|1949|内战尘埃落定,一个延续两千年的王朝式国家框架被彻底另起炉灶。
phi_quine|蒯因 · 经验论的两个教条|phi|1951|分析命题与综合命题分不清界限,哲学与科学之间也没那么泾渭分明。
phi_arendt|阿伦特 · 极权主义的起源|phi|1951|恶最可怕的样子不是穷凶极恶,是一个平庸官僚照章办事的面孔。
pol_eu_ecsc|欧洲煤钢共同体|pol|1951|把彼此的军工原料交给对方管,是不再互相开战最朴素的保险。
ren_refugee_convention|难民公约与庇护制度|ren|1951|战争刚结束,世界第一次坐下来给难民这个身份定了法律。
pol_algeria_independence|阿尔及利亚独立战争|pol|1954|一场殖民地战争打到宗主国自己修改了宪法。
pol_bandung_conference|万隆会议与不结盟运动|pol|1955|二十九个新独立国家开会宣布:冷战的两个阵营,我们都不选。
ren_tibetan_diaspora|藏人海外社群|ren|1959|翻山越岭到了印度小镇,却把一整套政教体制原样搬了过去。
phi_levinas|列维纳斯 · 他者的伦理学|phi|1961|伦理学不该从自我出发,该从对方那张无法被化约的脸开始。
ren_guest_worker_europe|欧洲客工计划|ren|1961|本想借用几年劳动力,结果借来了半个新德国人口。
ren_pied_noir|阿尔及利亚黑脚移民|ren|1962|在殖民地扎根三代,独立那年却成了法国的陌生人。
pol_oau_founding|非洲统一组织成立|pol|1963|独立不是终点,新生的非洲国家决定先把边界问题锁进抽屉。
rel_vatican_ii|梵二会议|rel|1965|弥撒第一次改说本地话——一场会议让天主教主动向现代世界打开大门。
pol_cultural_revolution|文化大革命|pol|1966|一场自上而下发动的群众运动,把国家机器本身当成了革命对象。
phi_derrida|德里达 · 解构主义|phi|1967|每一对非此即彼的概念背后,总有一方被悄悄压低了地位。
phi_liberation_theology|解放神学 · 古铁雷斯|phi|1971|信仰不该只谈来世的救赎,得先站到穷人一边参与改变现世结构。
phi_rawls|罗尔斯 ·《正义论》|phi|1971|不知道自己投胎会落在哪个阶层,才能设计出真正公平的规则。
rel_liberation_theology|解放神学|rel|1971|读圣经时把耶稣读成站在穷人一边——神学第一次公开选边站队。
phi_foucault|福柯 · 规训与惩罚|phi|1975|监狱不只是关人的地方,是一套训练温顺身体的技术在全社会铺开。
pol_helsinki_accords|赫尔辛基协议|pol|1975|冷战双方在协议里悄悄塞进一条必须尊重人权,后来变成了一把钥匙。
ren_hmong|苗人跨境离散|ren|1975|帮错了一方打仗,战后只能带着全族翻山逃命。
phi_hountondji|翁通吉 · 非洲哲学之争|phi|1976|把民族集体世界观直接当成哲学,反而是不把非洲人当独立思考的个体。
phi_postcolonial_said|萨义德 ·《东方主义》|phi|1978|西方笔下那个神秘停滞、待人拯救的东方,其实是一面照见自己的镜子。
pol_iran_revolution|伊朗伊斯兰革命|pol|1979|君主制一夜倒台,取而代之的是一套全新设计的政教合一体制。
ren_rohingya|罗兴亚人的无国籍|ren|1982|一纸公民法,把一个族群从本国居民改成了法外之人。
pol_eu_maastricht|欧盟正式成立|pol|1993|十二个国家签字,把共同市场升级成了半个国家。
pol_apartheid_end|南非结束种族隔离|pol|1994|关了二十七年牢的人,出狱后第一件事是邀请狱卒来谈判。
pol_rwanda_tribunal|卢旺达问题国际法庭|pol|1994|联合国第一次为种族灭绝罪单独设了一个法庭。
pol_schengen_area|申根协定|pol|1995|在一艘小客船上签的字,后来让边境检查站从半个欧洲消失。
pol_hongkong_handover|香港回归与一国两制|pol|1997|主权移交的同时,承诺五十年内制度先不变。
pol_kyoto_paris_climate_gov|京都议定书与巴黎协定|pol|1997|从规定每个国家减多少,改成让每个国家自己承诺减多少。
pol_internet_governance_icann|互联网治理:ICANN成立|pol|1998|全球网址的钥匙,交给了一家美国注册的非营利公司保管。
phi_sen_capability|阿马蒂亚·森 · 以自由看待发展|phi|1999|发展不该只看财富涨了多少,该看一个人真正能做、能成为什么。
phi_ubuntu|乌班图 · 我在故我们在|phi|1999|一个人之所以成为人,是因为有其他人——自我从不是孤零零地存在。
pol_arab_spring|阿拉伯之春|pol|2010|一个小贩自焚抗议罚款,火苗顺着社交媒体烧遍了半个中东。
pol_eu_brexit|英国脱欧|pol|2016|全民公投过半数,足以让一个大国从半个国家里退出会籍。
sci_cook_circle|首越南极圈 · 库克|sci|1773|库克三入南冰洋没见大陆,却把传说中的富饶南方大陆从地图上抹掉。
sci_antarctic_sighting|首见南极大陆|sci|1820|同一年,三国船长先后望见白色海岸,"谁第一"吵了两百年。
sci_ross_sea|罗斯远征 · 冰障与火山|sci|1841|帆船撞上四十多米高的冰墙,墙后竟是一座喷发中的火山。
eco_southern_whaling|南大洋捕鲸业|eco|1904|南极的第一桶金是鲸油,半个世纪捕走的鲸以百万头计。
sci_pole_race|极点竞赛 · 阿蒙森与斯科特|sci|1911|一个月之差:一队靠雪橇犬凯旋,一队在归途全员冻毙。
sci_shackleton|坚忍号 · 沙克尔顿|sci|1915|船被浮冰碾碎,漂流七百天,二十八人一个不少地回了家。
sci_igy_antarctic|国际地球物理年 · 南极科学网|sci|1957|冷战最冷的年头,十二国却在冰盖上共建观测站网。
pol_antarctic_treaty|南极条约|pol|1959|主权冻结、军事禁入、科学优先——整块大陆让给了望远镜和企鹅。
sci_ozone_hole|南极臭氧洞|sci|1985|地面小站的老式仪器,揭穿了连卫星都"没看见"的天洞。
sci_ice_core|深冰芯 · 东方站|sci|1998|三千米冰下抽出四十二万年的大气标本,气候变化有了铁证。
sci_lomekwi|洛迈奎石器|sci|-3300000|最早的石器比人属还老三十万年——工具不是人类的专利。
sci_oldowan|奥杜威石器工业|sci|-2600000|两块石头一敲二百六十万年,人类第一项技术传统开机。
art_blombos|布隆伯斯洞穴刻纹|art|-75000|一块画着交叉线的赭石,把艺术心智前推到走出非洲之前。
rel_gobekli|哥贝克力石阵|rel|-9600|先有神庙,后有农业——为聚会修巨石,定居可能只是副产品。
ren_jericho|杰里科塔楼聚落|ren|-9000|一万一千年前的石墙与高塔,定居生活的第一份不动产。
ren_catalhoyuk|加泰土丘|ren|-7100|九千年前的城市没有街道,人从屋顶进门,与祖先同住地板下。
sci_indus_script|印度河谷印章文字|sci|-2600|四百多个符号至今无人读懂,一个大文明保持沉默。
rel_stonehenge|巨石阵|rel|-2500|巨石对准至日的日出日落,日历、神庙与墓地兼而有之。
art_sanxingdui|三星堆青铜面具|art|-1200|纵目千里的青铜面具,长江流域自成一格的神权美学。
sci_antikythera|安提基特拉机械|sci|-100|沉船里捞出的青铜齿轮箱,精密度领先其后一千四百年。
art_rapanui|复活节岛石像|art|1250|与世隔绝的岛民竖起近千尊巨像,然后森林没了。
bantu_a|班图迁徙(弧)|ren|-1000|农业与铁器带着班图语族,铺满撒哈拉以南非洲。
alex_a|亚历山大东征(弧)|ren|-334|把希腊文化一路撒到印度门口,希腊化世界诞生。
silk_a|丝绸之路(弧)|eco|-130|货物、病菌、信仰与技术,沿一条路双向流动千年。
paper_a|造纸术西传(弧)|sci|751|怛罗斯之战后造纸西渐,伊斯兰与欧洲的知识加速。
arab_a|阿拉伯扩张(弧)|ren|632|一个世纪横扫三洲,把地中海变成伊斯兰之海。
crusade_a|十字军东征(弧)|rel|1096|以信仰之名的军事远征,意外重启了东西交流。
plague_a|黑死病(弧)|ren|1347|三分之一欧洲人死去,动摇农奴制,间接催生近代。
zhenghe_a|郑和下西洋(弧)|eco|1405|巨舰远航东非,然后戛然而止——一个没走下去的可能。
columbus_a|大航海 · 哥伦布交换(弧)|ren|1492|两个半球重新连接,作物、白银、疾病与人重塑全球。
slave_a|大西洋奴隶贸易(弧)|ren|1600|上千万非洲人被贩运,美洲种植园与现代种族观的黑暗根基。
migr_atlantic_a|跨洋移民潮(弧)|ren|1850|数千万欧洲人涌入新大陆,重塑两岸人口。
decolonize_a|去殖民化浪潮(弧)|pol|1947|亚非拉数十国独立,全球政治版图重绘。
migr_now_a|当代大迁移(弧)|ren|2015|战争与气候推动的新一轮人口流动。
arc_indoeuropean|印欧语系西迁(弧)|ren|-3300|颜那亚牧民的马车,把一个语系铺成半个地球的母语。
arc_austronesian|南岛语族扩散(弧)|ren|-3000|从台湾出发的独木舟,把一个语系撒满半个地球的海洋。
arc_phoenician_expansion|腓尼基人地中海殖民(弧)|ren|-1100|推罗商人一路西航建立殖民地,顺带把字母卖给了世界。
arc_greek_colonization|希腊人地中海殖民潮(弧)|ren|-750|城邦人口过剩就出海建新城,大希腊比希腊本土还大。
arc_spice_route|印度洋香料之路(弧)|eco|-100|季风一年一个来回,把香料群岛和地中海连成一张价格表。
arc_buddhism_silkroad|佛教沿丝路东传(弧)|rel|-50|翻越葱岭的僧侣与商队,把恒河的教义种进黄河流域。
arc_jewish_diaspora|犹太人大流散(弧)|ren|70|圣殿两度被毁,一个民族学会带着经典而非国土生存。
arc_sogdian_trade|粟特商队东西网(弧)|eco|200|不建帝国只建商站,粟特人把丝路经营成一门家族生意。
arc_manichaeism|摩尼教东传中亚(弧)|rel|250|波斯先知的教义一路向东,竟成了草原汗国的国教。
arc_trans_saharan|跨撒哈拉金盐路(弧)|eco|700|黄金与食盐按等重交换,撑起西非帝国的财富与信仰。
arc_viking_atlantic|维京人西渡北大西洋(弧)|ren|870|冰岛、格陵兰、文兰,维京长船比哥伦布早了五百年。
arc_camino_santiago|圣地亚哥朝圣之路(弧)|rel|950|一条扇贝壳指路的朝圣路,意外催生中世纪最早的旅游经济。
arc_romani_migration|罗姆人西迁欧洲(弧)|ren|1000|从拉贾斯坦走到巴尔干,千年后依然找不到一块承认的家园。
arc_toledo_translation|托莱多翻译运动(弧)|sci|1100|阿拉伯文里的希腊智慧,在托莱多被译成拉丁文喂给欧洲。
arc_hakka_migration|客家人南迁(弧)|ren|1127|中原战乱一次次把移民推向南方山地,客居久了成了客家。
arc_islam_maritime|伊斯兰教海上东渐(弧)|rel|1200|不靠一兵一卒,苏丹皈依跟着商船的罗盘走。
arc_gunpowder_west|火药技术西传(弧)|sci|1250|一个炼丹意外,两百年后变成终结骑士时代的武器。
arc_huihui_trebuchet|回回炮工匠东调(弧)|sci|1271|波斯工程师造出的配重投石机,砸开了南宋最后的城墙。
arc_hajj_mali|曼萨·穆萨的麦加朝觐(弧)|rel|1324|国王沿途撒金,一趟朝圣走衰了开罗的金价十年。
arc_byzantine_scholars|拜占庭学者西迁意大利(弧)|sci|1453|君士坦丁堡陷落前后,希腊原典随逃亡学者流入佛罗伦萨。
arc_east_african_slave|东非印度洋奴隶贸易(弧)|ren|1500|另一条奴隶贸易线,把非洲内陆人口送去印度洋世界。
arc_barbary_slave|巴巴里海盗掳掠欧洲(弧)|ren|1520|被掳去北非的欧洲人超过百万,方向和课本讲的正好相反。
arc_potosi_silver|波托西银路(弧)|eco|1545|一座山吃掉数百万矿工性命,喂出欧洲两百年的通货膨胀。
arc_manila_galleon|马尼拉大帆船贸易(弧)|eco|1565|墨西哥白银换中国瓷器,太平洋两岸第一次被贸易锁死。
arc_coffee_diffusion|咖啡从也门传向世界(弧)|eco|1570|苏菲派用来提神的饮料,两百年后开成整个欧洲的咖啡馆。
arc_jesuit_china|耶稣会士东来传教(弧)|rel|1580|传教士带来钟表与几何,换来了在紫禁城传教的许可。
arc_triangle_eu_af|三角贸易·军火易人路(弧)|eco|1650|布匹与火枪运抵西非海岸,换回的是下一船的人。
arc_triangle_am_eu|三角贸易·蔗糖归航路(弧)|eco|1650|蔗糖、烟草与棉花运回母港,利润变成工厂与银行。
arc_opium_trade|鸦片贸易输华(弧)|eco|1780|为补平贸易逆差,东印度公司把鸦片种成了对华出口拳头商品。
arc_underground_railroad|地下铁路北逃网络(弧)|ren|1820|没有铁轨的地下铁路,靠暗号与藏身处把奴隶送过国界。
arc_back_to_africa|解放黑奴回迁利比里亚(弧)|ren|1822|美国自由黑人回到非洲建国,却和当地人产生新的隔阂。
arc_indian_indenture|印度契约劳工赴加勒比(弧)|ren|1838|奴隶制刚废除,种植园主换了一种方式绑住劳工。
arc_irish_famine|爱尔兰大饥荒移民(弧)|ren|1845|土豆枯萎的十年,让爱尔兰失去四分之一人口给新大陆。
arc_mormon_trail|摩门信徒西迁盐湖城(弧)|rel|1846|被驱逐的教派走进沙漠腹地,把无人要的盆地经营成绿洲。
arc_tea_transfer|茶树技术移植印度(弧)|sci|1848|苏格兰植物学家乔装偷师,武夷茶种和茶工都到了阿萨姆。
arc_xia_nanyang|下南洋(弧)|ren|1850|一张草席一副扁担,闽粤子弟下南洋撑起了唐人街。
arc_chuang_guandong|闯关东(弧)|ren|1860|华北饥民闯过山海关,把黑土地种成新粮仓。
arc_blackbirding|太平洋黑鸟劳工贸易(弧)|ren|1863|被诱骗上船的岛民,填满了昆士兰的甘蔗田。
arc_chinese_railroad|华工筑美洲铁路(弧)|ren|1865|两万华工凿穿内华达山脉,换来的是排华法案。
arc_sikh_diaspora|锡克人移民加拿大(弧)|ren|1897|从帝国军团到伐木工,旁遮普农民在太平洋对岸扎下根。
arc_japanese_brazil|日本移民巴西咖啡园(弧)|ren|1908|笠户丸载着第一批移民抵达,巴西成了日本海外最大聚居地。
arc_coldwar_braindrain|冷战火箭科学家西渡(弧)|sci|1945|回形针行动把纳粹火箭工程师,变成登月计划的功臣。
arc_gulf_labor|南亚赴海湾劳工潮(弧)|ren|1973|石油美元雇来整座城市的建造者,却不给他们留下的权利。
arc_boat_people|越南船民潮(弧)|ren|1975|西贡陷落后百万人搭船出逃,逼世界重写难民公约的细则。
arc_afghan_refugees|阿富汗难民潮(弧)|ren|1979|苏军入境的十年,把数百万阿富汗人推过一条殖民划定的边界。
arc_india_silicon_valley|印度赴硅谷科技人才流(弧)|sci|1990|H-1B签证输出的工程师,一部分带着资本和人脉飞回班加罗尔。
arc_heroic_age|南极英雄时代远征潮(弧)|ren|1897|二十年间十余支远征队扑向冰原,民族荣誉押在了极点上。
